salesforce_id,email,name,seller_id,marketplace_id,col1,col2,col3,wasin,fraction,active
0011T00002f0tLzQAI,exclusive.sparcwelders@gmail.com,SPARCWelders,A142BOPDEE5UAO,ATVPDKIKX0DER,AlphaEnterprisesUSA,AlphaEnterprisesUSA,United States,B2B,0,1
0011T00002X7FjuQAF,exclusive.spellbrite@gmail.com,SpellBrite,A306ZI56MCYT6,ATVPDKIKX0DER,SpellBrite,SpellBrite,United States,B2B,0,1
0011T00002hF7PeQAK,exclusive.stylerepublic@gmail.com,StyleRepublic,A2ZRGSVDTQDKSD,ATVPDKIKX0DER,Style Republic,Style Republic,United States,NOB2B,0,1
0011T00002Xcp19QAB,exclusive.sunrisefresh@gmail.com,SunriseFreshLLC,A1S8LDMJ2TXKN5,ATVPDKIKX0DER,Sunrise Fresh Dried Fruit Company,Sunrise Fresh Dried Fruit Company,United States,B2B,0,1
0015000000XlhTGAAZ,exclusive.suspenderstore@gmail.com,SuspenderStore,A1GHUR9GRQ1MLL,ATVPDKIKX0DER,Suspender Store,Suspender Store,United States,B2B,0,1
0015000000XlhTGAAZ,exclusive.suspenderstore@gmail.com,SuspenderStoreCA,A1GHUR9GRQ1MLL,A2EUQ1WTGCTBG2,Suspender Store,Suspender Store,Canada,B2B,0,1
0015000000oos8qAAA,exclusive.tallmenshoes@gmail.com,TallMenShoes,A1YSQMO75PAU9M,ATVPDKIKX0DER,TALLMENSHOES,TALLMENSHOES,United States,B2B,0,1
0015000000oos8qAAA,exclusive.tallmenshoes@gmail.com,TallMenShoesCA,A1YSQMO75PAU9M,A2EUQ1WTGCTBG2,TALLMENSHOES,TALLMENSHOES,Canada,B2B,0,1
0011T00002Wsa0wQAB,exclusive.thepondguy@gmail.com,ThePondGuy,A2GUPFRLXL7H99,ATVPDKIKX0DER,"The Pond Guy, Inc.","The Pond Guy, Inc.",United States,B2B,0,1
0011T00002K9P5KQAV,exclusive.treadmilldoctor@gmail.com,TreadmillDoctor,A1UQLPG568YOT7,ATVPDKIKX0DER,Treadmill Doctor,Treadmill Doctor,United States,B2B,0,1
0011T00002K9hB9QAJ,exclusive.ultimateoffice@gmail.com,UltimateOffice,A2SZL7E5CR3VPJ,ATVPDKIKX0DER,"Ultimate Office, Inc.","Ultimate Office, Inc.",United States,B2B,0,1
0011T00002RVSxfQAH,exclusive.vacumaid@gmail.com,VacuMaid,A3G7XFY4PF6IJN,ATVPDKIKX0DER,"Lindsay Manufacturing, Inc.","Lindsay Manufacturing, Inc.",United States,B2B,0,1
0011T00002T3HKWQA3,exclusive.warstic@gmail.com,WarsticSports,ALNWQCXP4NHUL,ATVPDKIKX0DER,Warstic Sports,Warstic Sports,United States,B2B,0,1
0011T00002RUtNnQAL,exclusive.weddingcollectibles@gmail.com,WeddingCollectibles,A3OCWP1XJ871MU,ATVPDKIKX0DER,Wedding Collectibles UK,Wedding Collectibles UK,United States,B2B,0,1
